"filename","tag_count","id","title","date","author","layout","guid","permalink","podPressPostSpecific","- 'a","categories","tags","podPressMedia","excerpt","enclosure","- ""http","image"
"2008-09-15-caused-stack-overflow.md","5","210","Caused Stack Overflow","2008-09-15T09:46:54-06:00","Jim McKeeth","post","http://www.delphi.org/?p=210","/2008/09/caused-stack-overflow/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","community, delphi, forum, News, stackoverflow","","","","",""
"2008-09-15-episode-5-oxygene-and-net.md","4","198","5 ? Oxygene and .NET","2008-09-15T04:50:27-06:00","Jim McKeeth","post","http://www.delphi.org/?p=198","/2008/09/episode-5-oxygene-and-net/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","",".NET, Audio podCast, delphi, podcast","","","","",""
"2008-09-19-hidden-features-of-delphi.md","4","212","Hidden Features of Delphi","2008-09-19T10:43:03-06:00","Jim McKeeth","post","http://www.delphi.org/?p=212","/2008/09/hidden-features-of-delphi/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi, hidden-features, News, stackoverflow","","","","",""
"2008-09-22-episode-6-cast-on-news.md","3","215","6 ? Cast on News","2008-09-22T05:02:54-06:00","Jim McKeeth","post","http://www.delphi.org/?p=215","/2008/09/episode-6-cast-on-news/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, delphi, stackoverflow","","This episode is the first of what I hope to be a recurring feature where I get together with other bloggers and community members to discuss Delphi news.  We talk about Delphi 2009, Stack Overflow and their OpenId Issues, why we use Delphi, and other current events.  ","","",""
"2008-09-23-screencast-1-adding-an-explore-tool.md","5","230","ScreenCast 1 ? Adding an Explore Tool","2008-09-23T00:03:32-06:00","Jim McKeeth","post","http://www.delphi.org/?p=230","/2008/09/screencast-1-adding-an-explore-tool/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","delphi 2009, explore, screencast, tool, Video podCast","","","","",""
"2008-09-25-update-on-explore-tool.md","4","245","Update on Explore Tool","2008-09-25T23:59:33-06:00","Jim McKeeth","post","http://www.delphi.org/?p=245","/2008/09/update-on-explore-tool/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi, explore, News, tool","","","","",""
"2008-09-26-favorite-podcast-format.md","4","249","Favorite Podcast Format","2008-09-26T00:10:40-06:00","Jim McKeeth","post","http://www.delphi.org/?p=249","/2008/09/favorite-podcast-format/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:7:""Default"";s:12:""itunes:block"";s:7:""Default"";}","News","format, News, podcast, poll","","","","",""
"2008-09-26-intro-to-generic-collections-with-delphi-2009.md","12","257","Intro to Generic Collections with Delphi 2009","2008-09-26T11:35:45-06:00","Jim McKeeth","post","http://www.delphi.org/?p=257","/2008/09/intro-to-generic-collections-with-delphi-2009/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:7:""Default"";s:12:""itunes:block"";s:7:""Default"";}","News","Collections, delphi, delphi 2009, Demo, Generic Collections, generics, News, programming, screencast, Source Code, TList, Video podCast","","","","",""
"2008-09-29-audio-quality.md","1","263","Audio Quality","2008-09-29T10:24:28-06:00","Jim McKeeth","post","http://www.delphi.org/?p=263","/2008/09/audio-quality/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","News","","","","",""
"2008-09-29-episode-7-beyond-compare.md","9","261","7 ? Beyond Compare","2008-09-29T03:48:49-06:00","Jim McKeeth","post","http://www.delphi.org/?p=261","/2008/09/episode-7-beyond-compare/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, beyond compare, compare, delphi, delphi 2009, discount, kylix, linux, remobjects","","","","",""
"2008-10-07-episode-8-roundtable-on-best-practices.md","6","266","8 ? Round Table on Best Practices","2008-10-07T03:51:01-06:00","Jim McKeeth","post","http://www.delphi.org/?p=266","/2008/10/episode-8-roundtable-on-best-practices/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, delphi, experts, generics, mvc, source control","","","","",""
"2008-10-07-free-delphi-2009-handbook-by-macro-cantu.md","6","277","Free Delphi 2009 Handbook by Marco Cantu","2008-10-07T10:41:11-06:00","Jim McKeeth","post","http://www.delphi.org/?p=277","/2008/10/free-delphi-2009-handbook-by-macro-cantu/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","codegear, delphi, delphi 2009, Embarcadero, free, News","","","","",""
"2008-10-08-code-rage-iii-call-for-speakers.md","3","288","Code Rage III: Call for Speakers","2008-10-08T12:46:01-06:00","Jim McKeeth","post","http://www.delphi.org/?p=288","/2008/10/code-rage-iii-call-for-speakers/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","codegear, coderage, News","","","","",""
"2008-10-08-craig-petersons-favorite-blog-links.md","3","273","Craig Peterson?s favorite blog links","2008-10-08T01:13:33-06:00","Jim McKeeth","post","http://www.delphi.org/?p=273","/2008/10/craig-petersons-favorite-blog-links/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","beyond compare, links, News","","","","",""
"2008-10-08-delphi-keeps-climbing.md","5","292","Delphi Keeps Climbing","2008-10-08T12:55:46-06:00","Jim McKeeth","post","http://www.delphi.org/?p=292","/2008/10/delphi-keeps-climbing/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","blog, community, delphi, News, TPCI","","","","",""
"2008-10-10-episode-9-coderage-3-and-delphi-prism.md","8","300","9 ? CodeRage 3 and Delphi Prism","2008-10-10T01:49:44-06:00","Jim McKeeth","post","http://www.delphi.org/?p=300","/2008/10/episode-9-coderage-3-and-delphi-prism/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, codegear, coderage, delphi, delphi prism, flash mob, PDC, twitter","","","","",""
"2008-10-10-the-many-faces-of-delphi.md","4","307","The Many Faces of Delphi","2008-10-10T18:46:41-06:00","Jim McKeeth","post","http://www.delphi.org/?p=307","/2008/10/the-many-faces-of-delphi/","","","News","blogging, delphi, News, TPCI","","","","",""
"2008-10-12-delphi-language-of-the-year-2008.md","3","316","Delphi could be 2008 Language of the Year","2008-10-12T14:41:37-06:00","Jim McKeeth","post","http://www.delphi.org/?p=316","/2008/10/delphi-language-of-the-year-2008/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:7:""Default"";s:12:""itunes:block"";s:7:""Default"";}","News","delphi, News, TCPI","","","","",""
"2008-10-13-episode-10-marco-cantu.md","4","328","10 ? Marco Cant?","2008-10-13T23:59:05-06:00","Jim McKeeth","post","http://www.delphi.org/?p=328","/2008/10/episode-10-marco-cantu/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, coderage, delphi, marco","","","","",""
"2008-10-13-torrys-updates.md","7","326","Torry?s Updates","2008-10-13T14:46:05-06:00","Jim McKeeth","post","http://www.delphi.org/?p=326","/2008/10/torrys-updates/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:7:""Default"";s:12:""itunes:block"";s:7:""Default"";}","News","community, Components, delphi, market, News, torry, TPCI","","","","",""
"2008-10-17-return-of-delphi-man.md","5","344","Return of Delphi Man","2008-10-17T20:05:29-06:00","Jim McKeeth","post","http://www.delphi.org/?p=344","/2008/10/return-of-delphi-man/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","borland, codegear, delphi, delphi man, News","","","","",""
"2008-10-18-the-further-adventures-of-turboman.md","3","349","The Further Adventures of Turboman","2008-10-18T10:24:18-06:00","Jim McKeeth","post","http://www.delphi.org/?p=349","/2008/10/the-further-adventures-of-turboman/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:7:""Default"";s:12:""itunes:block"";s:7:""Default"";}","News","codegear, delphi man, News","","","","",""
"2008-10-20-episode-11-more-roundtable.md","6","341","11 ? More Roundtable","2008-10-20T08:13:25-06:00","Jim McKeeth","post","http://www.delphi.org/?p=341","/2008/10/episode-11-more-roundtable/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","anonymous methods, Audio podCast, delphi, PDC, silverlight, TPCI","","","","",""
"2008-10-21-definitive-delphi-twitter-directory.md","3","373","Definitive Delphi Twitter Directory","2008-10-21T00:16:34-06:00","Jim McKeeth","post","http://www.delphi.org/?p=373","/2008/10/definitive-delphi-twitter-directory/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi, News, twitter","","","","",""
"2008-10-21-delphi-man-sighting.md","3","382","Delphi Man Sighting","2008-10-21T00:44:13-06:00","Jim McKeeth","post","http://www.delphi.org/?p=382","/2008/10/delphi-man-sighting/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","bug tracking, delphi man, News","","","","",""
"2008-10-24-delphi-flash-mob-at-pdc.md","4","411","Delphi Flash Mob at PDC","2008-10-24T00:26:44-06:00","Jim McKeeth","post","http://www.delphi.org/?p=411","/2008/10/delphi-flash-mob-at-pdc/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi, flash mob, News, PDC","","","","",""
"2008-10-27-delphi-prism.md","3","417","What is Delphi Prism?","2008-10-27T17:39:11-06:00","Jim McKeeth","post","http://www.delphi.org/?p=417","/2008/10/delphi-prism/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi prism, News, pdc2008","","","","",""
"2008-10-27-first-delphi-flash-mob-at-pdc2008.md","5","413","First Delphi Flash Mob at PDC2008","2008-10-27T13:23:07-06:00","Jim McKeeth","post","http://www.delphi.org/?p=413","/2008/10/first-delphi-flash-mob-at-pdc2008/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","delphi, delphi 2009, delphi prism, News, pdc2008","","","","",""
